Date : 2025-09-01 23:58:13
Directory : k:\AiChat\tavern_helper_template
Total : 244 files,  58621 codes, 2438 comments, 5728 blanks, all 66787 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\什么我要在玄幻修仙世界种田-0楼版本\components\sidepanel                                                                           |          2 |        136 |          9 |         17 |        162 |
| src\什么我要在玄幻修仙世界种田-0楼版本\components\story                                                                               |          1 |         91 |          0 |         15 |        106 |
| src\什么我要在玄幻修仙世界种田-0楼版本\components\system                                                                              |          8 |        594 |         12 |         67 |        673 |
| src\什么我要在玄幻修仙世界种田-0楼版本\components\team                                                                                |          3 |        180 |          6 |         21 |        207 |
| src\什么我要在玄幻修仙世界种田-0楼版本\components\world                                                                               |          3 |        135 |          0 |         17 |        152 |
| src\什么我要在玄幻修仙世界种田-0楼版本\core                                                                                           |         23 |      2,827 |        870 |        601 |      4,298 |
| src\什么我要在玄幻修仙世界种田-0楼版本\core (Files)                                                                                   |         20 |      2,593 |        791 |        547 |      3,931 |
| src\什么我要在玄幻修仙世界种田-0楼版本\core\events                                                                                    |          3 |        234 |         79 |         54 |        367 |
| src\什么我要在玄幻修仙世界种田-0楼版本\data                                                                                           |          6 |      2,317 |         32 |        209 |      2,558 |
| src\什么我要在玄幻修仙世界种田-0楼版本\debug_file                                                                                     |          2 |        734 |          0 |          0 |        734 |
| src\什么我要在玄幻修仙世界种田-0楼版本\docs                                                                                           |         33 |      4,692 |          2 |      1,403 |      6,097 |
| src\什么我要在玄幻修仙世界种田-0楼版本\docs (Files)                                                                                   |          6 |        431 |          0 |        148 |        579 |
| src\什么我要在玄幻修仙世界种田-0楼版本\docs\Core                                                                                      |          6 |      1,027 |          0 |        335 |      1,362 |
| src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay                                                                                  |         13 |      1,815 |          2 |        452 |      2,269 |
| src\什么我要在玄幻修仙世界种田-0楼版本\docs\Plugin                                                                                    |          2 |        216 |          0 |         72 |        288 |
| src\什么我要在玄幻修仙世界种田-0楼版本\docs\developer                                                                                 |          1 |        368 |          0 |        197 |        565 |
| src\什么我要在玄幻修仙世界种田-0楼版本\docs\old                                                                                       |          5 |        835 |          0 |        199 |      1,034 |
| src\什么我要在玄幻修仙世界种田-0楼版本\modules                                                                                        |          3 |        321 |         67 |         60 |        448 |
| src\什么我要在玄幻修仙世界种田-0楼版本\modules\setup                                                                                  |          1 |         88 |          0 |         15 |        103 |
| src\什么我要在玄幻修仙世界种田-0楼版本\modules\smartContext                                                                           |          2 |        233 |         67 |         45 |        345 |
| src\什么我要在玄幻修仙世界种田-0楼版本\save                                                                                           |          1 |        158 |          0 |          0 |        158 |
| src\什么我要在玄幻修仙世界种田-0楼版本\stores                                                                                         |         33 |      3,914 |        414 |        666 |      4,994 |
| src\什么我要在玄幻修仙世界种田-0楼版本\stores\app                                                                                     |          3 |        152 |         29 |         23 |        204 |
| src\什么我要在玄幻修仙世界种田-0楼版本\stores\core                                                                                    |          4 |        464 |         62 |         79 |        605 |
| src\什么我要在玄幻修仙世界种田-0楼版本\stores\modules                                                                                 |          2 |        256 |         50 |         54 |        360 |
| src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems                                                                                 |         11 |      1,772 |        160 |        302 |      2,234 |
| src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui                                                                                      |         13 |      1,270 |        113 |        208 |      1,591 |
| src\什么我要在玄幻修仙世界种田-Vue版本                                                                                               |          7 |        373 |         25 |         49 |        447 |
| src\什么我要在玄幻修仙世界种田-Vue版本 (Files)                                                                                       |          3 |         52 |          1 |          9 |         62 |
| src\什么我要在玄幻修仙世界种田-Vue版本\components                                                                                    |          2 |         90 |          0 |         12 |        102 |
| src\什么我要在玄幻修仙世界种田-Vue版本\stores                                                                                        |          2 |        231 |         24 |         28 |        283 |
| src\什么我要在玄幻修仙世界种田-第一条消息                                                                                               |         13 |      1,980 |        122 |        267 |      2,369 |
| src\什么我要在玄幻修仙世界种田-第一条消息 (Files)                                                                                       |          5 |      1,353 |         82 |        173 |      1,608 |
| src\什么我要在玄幻修仙世界种田-第一条消息\core                                                                                          |          2 |        402 |         35 |         54 |        491 |
| src\什么我要在玄幻修仙世界种田-第一条消息\data                                                                                          |          1 |         78 |          0 |         14 |         92 |
| src\什么我要在玄幻修仙世界种田-第一条消息\models                                                                                        |          1 |         20 |          1 |          4 |         25 |
| src\什么我要在玄幻修仙世界种田-第一条消息\ui                                                                                            |          4 |        127 |          4 |         22 |        153 |
| 初始模板                                                                                                                  |          6 |         25 |          0 |          6 |         31 |
| 初始模板\前端界面                                                                                                             |          4 |         18 |          0 |          4 |         22 |
| 初始模板\前端界面\导入到酒馆中                                                                                                      |          1 |         15 |          0 |          1 |         16 |
| 初始模板\前端界面\新建为src文件夹中的文件夹                                                                                              |          3 |          3 |          0 |          3 |          6 |
| 初始模板\脚本                                                                                                               |          2 |          7 |          0 |          2 |          9 |
| 初始模板\脚本\导入到酒馆中                                                                                                        |          1 |          7 |          0 |          1 |          8 |
| 初始模板\脚本\新建为src文件夹中的文件夹                                                                                                |          1 |          0 |          0 |          1 |          1 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                              | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| k:\AiChat\tavern_helper_template\.augment\rules\mcp.md                                                                | Markdown           |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\.augment\rules\mvu变量框架.md                                                            | Markdown           |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\.augment\rules\前端界面.md                                                               | Markdown           |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\.augment\rules\脚本.md                                                                 | Markdown           |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\.augment\rules\酒馆变量.md                                                               | Markdown           |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\.augment\rules\项目基本概念.md                                                             | Markdown           |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\.clinerules\mcp.md                                                                   | Markdown           |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\.clinerules\mvu变量框架.md                                                               | Markdown           |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\.clinerules\前端界面.md                                                                  | Markdown           |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\.clinerules\脚本.md                                                                    | Markdown           |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\.clinerules\酒馆变量.md                                                                  | Markdown           |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\.clinerules\项目基本概念.md                                                                | Markdown           |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\.cursor\mcp.json                                                                     | JSON with Comments |         14 |          0 |          1 |         15 |
| k:\AiChat\tavern_helper_template\.github\workflows\bump_deps.yaml                                                     | YAML               |         35 |          0 |          8 |         43 |
| k:\AiChat\tavern_helper_template\.github\workflows\bundle.yaml                                                        | YAML               |         44 |          1 |          8 |         53 |
| k:\AiChat\tavern_helper_template\.github\workflows\sync_template.yaml                                                 | YAML               |         27 |          0 |          4 |         31 |
| k:\AiChat\tavern_helper_template\.roo\mcp.json                                                                        | JSON with Comments |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\.roo\rules\mcp.md                                                                    | Markdown           |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\.roo\rules\mvu变量框架.md                                                                | Markdown           |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\.roo\rules\前端界面.md                                                                   | Markdown           |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\.roo\rules\脚本.md                                                                     | Markdown           |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\.roo\rules\酒馆变量.md                                                                   | Markdown           |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\.roo\rules\项目基本概念.md                                                                 | Markdown           |          1 |          0 |          0 |          1 |
| k:\AiChat\tavern_helper_template\GEMINI.md                                                                            | Markdown           |          7 |          0 |          2 |          9 |
| k:\AiChat\tavern_helper_template\changlog.md                                                                          | Markdown           |         29 |          0 |         19 |         48 |
| k:\AiChat\tavern_helper_template\dist\src\什么我要在玄幻修仙世界种田-0楼版本\index.html                                               | HTML               |      4,608 |          1 |         57 |      4,666 |
| k:\AiChat\tavern_helper_template\dist\src\什么我要在玄幻修仙世界种田-Vue版本\index.html                                              | HTML               |        297 |          0 |         16 |        313 |
| k:\AiChat\tavern_helper_template\dist\src\什么我要在玄幻修仙世界种田-第一条消息\FirstMes.html                                           | HTML               |        661 |         39 |         56 |        756 |
| k:\AiChat\tavern_helper_template\dist\src\什么我要在玄幻修仙世界种田\index.html                                                    | HTML               |      1,605 |         67 |         43 |      1,715 |
| k:\AiChat\tavern_helper_template\dist\什么我要在玄幻修仙世界种田-0楼版本\index.html                                                   | HTML               |      2,967 |         93 |         61 |      3,121 |
| k:\AiChat\tavern_helper_template\dist\什么我要在玄幻修仙世界种田-Vue版本\index.html                                                  | HTML               |        237 |          0 |         14 |        251 |
| k:\AiChat\tavern_helper_template\dist\什么我要在玄幻修仙世界种田\index.html                                                        | HTML               |      1,567 |         67 |         43 |      1,677 |
| k:\AiChat\tavern_helper_template\dist\界面模板\index.html                                                                 | HTML               |         45 |          0 |          6 |         51 |
| k:\AiChat\tavern_helper_template\dist\界面示例\index.html                                                                 | HTML               |        205 |          0 |         10 |        215 |
| k:\AiChat\tavern_helper_template\dist\脚本模板\index.js                                                                   | JavaScript         |          6 |          2 |          2 |         10 |
| k:\AiChat\tavern_helper_template\dist\脚本示例\index.js                                                                   | JavaScript         |         71 |         10 |          7 |         88 |
| k:\AiChat\tavern_helper_template\dist\脚本示例\可点击的选择框\index.js                                                           | JavaScript         |         35 |          4 |          4 |         43 |
| k:\AiChat\tavern_helper_template\package-lock.json                                                                    | JSON               |     11,988 |          0 |          1 |     11,989 |
| k:\AiChat\tavern_helper_template\package.json                                                                         | JSON               |         89 |          0 |          1 |         90 |
| k:\AiChat\tavern_helper_template\src\auto-imports.d.ts                                                                | TypeScript         |         77 |          8 |          1 |         86 |
| k:\AiChat\tavern_helper_template\src\components.d.ts                                                                  | TypeScript         |         44 |          6 |          2 |         52 |
| k:\AiChat\tavern_helper_template\src\update-script.ts                                                                 | TypeScript         |         86 |         33 |         16 |        135 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄van修仙世界种田-0楼版本\ui\sidePanel.ts                                             | TypeScript         |          2 |          2 |          1 |          5 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修-0楼版本\ui\modals\settings.ts                                              | TypeScript         |        112 |         25 |         20 |        157 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\App.vue                                                       | vue                |         90 |         10 |         21 |        121 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\Test.json                                                     | JSON               |        650 |          5 |         62 |        717 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\Test.yaml                                                     | YAML               |      5,102 |          0 |        510 |      5,612 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\MainMenu.vue                                       | vue                |        152 |          5 |         16 |        173 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\TopBar.vue                                         | vue                |        103 |          2 |         19 |        124 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\action\ActionPanel.vue                             | vue                |        140 |          4 |         12 |        156 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\debug\DebugModal.vue                               | vue                |        160 |          2 |         20 |        182 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\debug\EventInjector.vue                            | vue                |        102 |          0 |         14 |        116 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\debug\LogEntry.vue                                 | vue                |         56 |          0 |         11 |         67 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\debug\LogViewer.vue                                | vue                |        134 |          6 |         21 |        161 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\debug\PromptViewer.vue                             | vue                |        111 |          0 |         13 |        124 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\debug\StateBrowser.vue                             | vue                |        118 |          0 |         16 |        134 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\debug\VariableEntry.vue                            | vue                |        119 |          0 |          9 |        128 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\modals\DetailsModal.vue                            | vue                |         40 |          3 |          5 |         48 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\modals\HistoryModal.vue                            | vue                |         43 |          5 |          7 |         55 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\modals\HistoryTurn.vue                             | vue                |        185 |          2 |         25 |        212 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\modals\MenuModal.vue                               | vue                |         75 |          0 |         13 |         88 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\modals\PokedexManagerModal.vue                     | vue                |        212 |         11 |         27 |        250 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\modals\RemoteSyncModal.vue                         | vue                |        167 |          4 |         19 |        190 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\modals\SettingsModal.vue                           | vue                |        278 |          6 |         22 |        306 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\modals\VersionModal.vue                            | vue                |         73 |          0 |         14 |         87 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\pokedex\AddEntryForm.vue                           | vue                |        116 |          3 |         13 |        132 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\pokedex\PokedexList.vue                            | vue                |         29 |          0 |          6 |         35 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\pokedex\PokedexTab.vue                             | vue                |         24 |          0 |          5 |         29 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\pokedex\PokedexViewList.vue                        | vue                |         51 |          0 |          6 |         57 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\setup\SetupScreen.vue                              | vue                |        303 |         14 |         22 |        339 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\sidepanel\DesktopSidePanel.vue                     | vue                |         47 |          7 |          5 |         59 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\sidepanel\SidePanel.vue                            | vue                |         89 |          2 |         12 |        103 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\story\StoryPanel.vue                               | vue                |         91 |          0 |         15 |        106 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\system\AchievementPanel.vue                        | vue                |        100 |          2 |          7 |        109 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\system\BarterPanel.vue                             | vue                |         76 |          0 |          6 |         82 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\system\QuestItem.vue                               | vue                |         78 |          5 |         13 |         96 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\system\QuestTab.vue                                | vue                |         75 |          2 |         10 |         87 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\system\RetroactiveSignInPanel.vue                  | vue                |         69 |          0 |         16 |         85 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\system\SignInPanel.vue                             | vue                |         89 |          0 |          6 |         95 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\system\SkillPanel.vue                              | vue                |         58 |          2 |          5 |         65 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\system\SystemTab.vue                               | vue                |         49 |          1 |          4 |         54 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\team\CharacterCard.vue                             | vue                |         98 |          5 |         11 |        114 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\team\RelationsTab.vue                              | vue                |         52 |          1 |          5 |         58 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\team\TeamTab.vue                                   | vue                |         30 |          0 |          5 |         35 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\world\ShelterComponent.vue                         | vue                |         32 |          0 |          3 |         35 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\world\ShelterInfo.vue                              | vue                |         61 |          0 |          8 |         69 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\world\WorldTab.vue                                 | vue                |         42 |          0 |          6 |         48 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\actions.ts                                               | TypeScript         |        129 |         30 |         31 |        190 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\eventManager.ts                                          | TypeScript         |        117 |         60 |         23 |        200 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\definitions.ts                                    | TypeScript         |         65 |         70 |         20 |        155 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\systemHandler.ts                                  | TypeScript         |         70 |          2 |         15 |         87 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\worldChangeHandler.ts                             | TypeScript         |         99 |          7 |         19 |        125 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\generation.ts                                            | TypeScript         |         30 |         20 |          7 |         57 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\history.ts                                               | TypeScript         |        431 |        122 |         86 |        639 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\logger.ts                                                | TypeScript         |        122 |         42 |         26 |        190 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\parser.ts                                                | TypeScript         |         47 |         20 |         14 |         81 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\pokedex.ts                                               | TypeScript         |        212 |         18 |         37 |        267 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\promptManager.ts                                         | TypeScript         |        239 |         46 |         50 |        335 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\reactiveMessageBus.ts                                    | TypeScript         |         20 |         39 |          7 |         66 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\regexProcessor.ts                                        | TypeScript         |         31 |         22 |          7 |         60 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\renderer.ts                                              | TypeScript         |        297 |         49 |         56 |        402 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\secondaryLlmApi.ts                                       | TypeScript         |        104 |         19 |         22 |        145 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\state.ts                                                 | TypeScript         |          3 |         11 |          3 |         17 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\stateUpdater.ts                                          | TypeScript         |         49 |         20 |         14 |         83 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\storeOrchestrator.ts                                     | TypeScript         |         62 |         33 |         21 |        116 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\summarizer.ts                                            | TypeScript         |         94 |         26 |         25 |        145 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\time.ts                                                  | TypeScript         |        132 |         56 |         30 |        218 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\update-script.ts                                         | TypeScript         |         86 |         33 |         16 |        135 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\variables.ts                                             | TypeScript         |        322 |        109 |         60 |        491 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\version.ts                                               | TypeScript         |         66 |         16 |         12 |         94 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\genesisMessages.ts                                       | TypeScript         |        412 |          8 |        100 |        520 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\pokedex-data.json                                        | JSON               |        338 |          0 |          1 |        339 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\pokedex-data.ts                                          | TypeScript         |        476 |          0 |          2 |        478 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\prompts-data.ts                                          | TypeScript         |        959 |          0 |         95 |      1,054 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\shelter-data.ts                                          | TypeScript         |        101 |          5 |          4 |        110 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\time-data.ts                                             | TypeScript         |         31 |         19 |          7 |         57 |
| k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\debug_file\xuanhuan-variable-世界-2025-08-31T11_30_39.730Z.json | JSON               |        597 |          0 |          0 |        597 |
